abstract,paraphrase_abstract,Score (0-10),Not/Bad generated
"We investigate the effect of tuning the phonon energy on the correlation effects in models of electron-phonon interactions using DMFT. In the regime where itinerant electrons, instantaneous electron-phonon driven correlations and static distortions compete on similar energy scales, we find several interesting results including (1) A crossover from band to Mott behavior in the spectral function, leading to hybrid band/Mott features in the spectral function for phonon frequencies slightly larger than the band width. (2) Since the optical conductivity depends sensitively on the form of the spectral function, we show that such a regime should be observable through the low frequency form of the optical conductivity. (3) The resistivity has a double kondo peak arrangement","We examine how adjusting the phonon energy affects correlation effects in models of electron-phonon interactions using dynamical mean field theory (DMFT). Our investigation reveals various intriguing phenomena when itinerant electrons, instantaneous electron-phonon couplings, and static deformations operate on comparable energy scales. Specifically, we observe a transition from band-like to Mott behavior in the spectral function at moderate phonon frequencies, resulting in unique hybrid band/Mott characteristics. This crossover significantly impacts the optical conductivity, making it potentially detectable via its low-frequency profile. Additionally, our study shows that the resistivity exhibits a distinctive double Kondo peak structure.",8,
"We show that crystal can trap a broad (x, x', y, y', E) distribution of particles and channel it preserved with a high precision. This sampled-and-hold distribution can be steered by a bent crystal for analysis downstream. In simulations for the 7 TeV Large Hadron Collider, a crystal adapted to the accelerator lattice traps 90% of diffractively scattered protons emerging from the interaction point with a divergence 100 times the critical angle. We set the criterion for crystal adaptation improving efficiency ~100-fold. Proton angles are preserved in crystal transmission with accuracy down to 0.1 microrad. This makes feasible a crystal application for measuring very forward protons at the LHC.","Our research demonstrates that a crystal can effectively confine and guide a wide range of particle distributions, including their position and momentum coordinates, while maintaining a high level of precision. By using a curved crystal, this distributed particle population can be directed towards further analysis. In simulated experiments at the Large Hadron Collider, we found that our specially designed crystal was able to capture 90% of the protons that were deflected through large angles, which is 100 times greater than the critical angle, resulting in an improvement in efficiency of up to 100 fold. Additionally, we showed that the crystal preserves the angles of transmitted protons with an accuracy of less than 0.1 microradians, making it possible to use crystals for measuring extremely forward protons at the LHC.",5,
"We analyze the possibility of probing non-standard neutrino interactions (NSI, for short) through the detection of neutrinos produced in a future galactic supernova (SN).We consider the effect of NSI on the neutrino propagation through the SN envelope within a three-neutrino framework, paying special attention to the inclusion of NSI-induced resonant conversions, which may take place in the most deleptonised inner layers. We study the possibility of detecting NSI effects in a Megaton water Cherenkov detector, either through modulation effects in the $\\bar\ u_e$ spectrum due to (i) the passage of shock waves through the SN envelope, (ii) the time dependence of the electron fraction and (iii) the Earth matter effects; or, finally, through the possible detectability of the neutronization $\ u_e$ burst. We find that the $\\bar\ u_e$ spectrum can exhibit dramatic features due to the internal NSI-induced resonant conversion. This occurs for non-universal NSI strengths of a few %, and for very small flavor-changing NSI above a few$\\times 10^{-5}$.","In this study, we investigate the potential for observing non-standard neutrino interactions (NSI) during a future galactic supernova (SN) using a Megaton water Cherenkov detector. Specifically, we focus on how NSI affects the propagation of neutrinos through the SN envelope, taking into account the possibility of resonant conversions that may occur in the innermost, deleptonized regions. We examine three different ways to detect NSI effects in the detector: modulations in the electron antineutrino spectrum caused by shock waves passing through the envelope, time variations in the electron fraction, and Earth matter effects; as well as the potential detection of a neutronization burst. Our results show that the electron antineutrino spectrum can display striking features resulting from internal NSI-induced resonant conversion, particularly for non-universal NSI strengths of a few percent and very small flavor-changing NSI above a few times $10^{-5}$.",8,
"We performed a rigorous theoretical convergence analysis of the discrete dipole approximation (DDA). We prove that errors in any measured quantity are bounded by a sum of a linear and quadratic term in the size of a dipole d, when the latter is in the range of DDA applicability. Moreover, the linear term is significantly smaller for cubically than for non-cubically shaped scatterers. Therefore, for small d errors for cubically shaped particles are much smaller than for non-cubically shaped. The relative importance of the linear term decreases with increasing size, hence convergence of DDA for large enough scatterers is quadratic in the common range of d. Extensive numerical simulations were carried out for a wide range of d. Finally we discuss a number of new developments in DDA and their consequences for convergence.","Our study thoroughly examined the accuracy of the discrete dipole approximation (DDA) through a detailed theoretical analysis. We demonstrated that the error in any calculated quantity is limited to a combination of linear and squared terms related to the dipole's size, providing DDA remains applicable. Notably, the linear component is substantially reduced for cube-shaped objects compared to other shapes. As a result, errors for small dipoles are considerably lower for cubic particles. Furthermore, as the size increases, the significance of the linear term diminishes, resulting in a generally quadratic rate of convergence for larger dipoles within the typical range. To substantiate our findings, extensive numerical experiments spanning various sizes were conducted. Lastly, we discussed novel advancements in DDA and their implications on its convergence behavior.",8,
"This is a supplement to the paper arXiv:q-bio/0701050, containing the text of correspondence sent to Nature in 1990.","This document serves as an additional resource for the paper titled arXiv:q-bio/0701050"" and includes the contents of letters that were sent to Nature in 1990.""",10,
"We propose an extrapolation technique that allows accuracy improvement of the discrete dipole approximation computations. The performance of this technique was studied empirically based on extensive simulations for 5 test cases using many different discretizations. The quality of the extrapolation improves with refining discretization reaching extraordinary performance especially for cubically shaped particles. A two order of magnitude decrease of error was demonstrated. We also propose estimates of the extrapolation error, which were proven to be reliable. Finally we propose a simple method to directly separate shape and discretization errors and illustrated this for one test case.","Our approach enhances the precision of discrete dipole approximation calculations by employing an innovative extrapolation technique. Through comprehensive simulations across five diverse scenarios, we evaluated the effectiveness of our method using various discretizations. Notably, when applied to cubic-shaped particles, our technique yielded remarkable results, exhibiting a remarkable reduction in error by nearly two orders of magnitude. Additionally, we developed estimators for predicting extrapolation errors, which proved to be dependable. To further facilitate error analysis, we devised a straightforward approach to differentiate between shape and discretization errors. This novel technique was successfully demonstrated through its application to one of the test cases.",9,
"The multisite phosphorylation-dephosphorylation cycle is a motif repeatedly used in cell signaling. This motif itself can generate a variety of dynamic behaviors like bistability and ultrasensitivity without direct positive feedbacks. In this paper, we study the number of positive steady states of a general multisite phosphorylation-dephosphorylation cycle, and how the number of positive steady states varies by changing the biological parameters. We show analytically that (1) for some parameter ranges, there are at least n+1 (if n is even) or n (if n is odd) steady states; (2) there never are more than 2n-1 steady states (in particular, this implies that for n=2, including single levels of MAPK cascades, there are at most three steady states); (3) for parameters near the standard Michaelis-Menten quasi-steady state conditions, there are at most n+1 steady states; and (4) for parameters far from the standard Michaelis-Menten quasi-steady state conditions, there is at most one steady state.","The repeated use of the multisite phosphorylation-dephosphorylation cycle in cell signaling allows for various dynamic behaviors, such as bistability and ultrasensitivity, to occur without direct positive feedback loops. In this study, we investigate the impact of altering biological parameters on the number of stable states in a generalized multisite phosphorylation-dephosphorylation cycle. Our findings reveal that within certain parameter ranges, the number of stable states increases with the number of sites being modified, while never exceeding 2n-1 states. Notably, when considering systems with two levels of modification (n=2), we discover that there exist no more than three stable states. Furthermore, our analysis shows that under typical Michaelis-Menten quasi-steady state conditions, the number of stable states does not surpass n+1, whereas for parameters significantly deviating from these conditions, only one stable state remains.",9,
"In this manuscript we investigate the capabilities of the Discrete Dipole Approximation (DDA) to simulate scattering from particles that are much larger than the wavelength of the incident light, and describe an optimized publicly available DDA computer program that processes the large number of dipoles required for such simulations. Numerical simulations of light scattering by spheres with size parameters x up to 160 and 40 for refractive index m=1.05 and 2 respectively are presented and compared with exact results of the Mie theory. Errors of both integral and angle-resolved scattering quantities generally increase with m and show no systematic dependence on x. Computational times increase steeply with both x and m, reaching values of more than 2 weeks on a cluster of 64 processors. The main distinctive feature of the computer program is the ability to parallelize a single DDA simulation over a cluster of computers, which allows it to simulate light scattering by very large particles, like the ones that are considered in this manuscript. Current limitations and possible ways for improvement are discussed.","In this study, we explore the potential of the Discrete Dipole Approximation (DDA) to model the scattering of light by particles that are significantly larger than the wavelength of the incident light. We also describe a freely available computer program that has been optimized to handle the vast number of dipoles required for such simulations. Our numerical experiments involve simulating light scattering by spheres with size parameters up to 160 and 40 for refractive indices of 1.05 and 2, respectively, and comparing the results with those obtained using the exact Mie theory. We find that errors in both integrated and angle-resolved scattering quantities tend to increase with the refractive index, while showing no consistent trend with particle size. Notably, computational time increases sharply with both particle size and refractive index, requiring over two weeks of processing power on a 64-processor cluster. A key feature of our computer program is its ability to distribute a single DDA simulation across multiple processors, enabling the simulation of light scattering by extremely large particles. However, there are still limitations to the current approach, and we discuss potential avenues for improvement.",7,
"We present a review of the discrete dipole approximation (DDA), which is a general method to simulate light scattering by arbitrarily shaped particles. We put the method in historical context and discuss recent developments, taking the viewpoint of a general framework based on the integral equations for the electric field. We review both the theory of the DDA and its numerical aspects, the latter being of critical importance for any practical application of the method. Finally, the position of the DDA among other methods of light scattering simulation is shown and possible future developments are discussed.","In this article, we provide an overview of the Discrete Dipole Approximation (DDA) method for simulating light scattering by arbitrary-shaped particles. We begin by placing the method within its historical context and highlighting recent advancements. Our approach focuses on the integral equation framework that underlies the DDA, allowing us to thoroughly examine both the theoretical foundations and numerical implementation of the technique. We then discuss the various applications of the DDA and how it compares to alternative methods used in light scattering simulations. Finally, we conclude with a discussion of potential future directions for research involving the DDA.",9,
"""The quadratic pion scalar radius, \\la r^2\a^\\pi_s, plays an important role for present precise determinations of \\pi\\pi scattering. Recently, Yndur\\'ain, using an Omn\\`es representation of the null isospin(I) non-strange pion scalar form factor, obtains \\la r^2\a^\\pi_s=0.75\\pm 0.07 fm^2. This value is larger than the one calculated by solving the corresponding Muskhelishvili-Omn\\`es equations, \\la r^2\a^\\pi_s=0.61\\pm 0.04 fm^2. A large discrepancy between both values, given the precision, then results. We reanalyze Yndur\\'ain's method and show that by imposing continuity of the resulting pion scalar form factor under tiny changes in the input \\pi\\pi phase shifts, a zero in the form factor for some S-wave I=0 T-matrices is then required. Once this is accounted for, the resulting value is \\la r^2\a_s^\\pi=0.65\\pm 0.05 fm^2. The main source of error in our determination is present experimental uncertainties in low energy S-wave I=0 \\pi\\pi phase shifts. Another important contribution to our error is the not yet settled asymptotic behaviour of the phase of the scalar form factor from QCD.","The quadratic pion scalar radius, which refers to the square of the distance between the quark and antiquark within a pion, has significant implications for the accurate study of pion-pion scattering. In recent times, researcher Yndurain utilized an Omnes representation of the null isospin (I) non-strange pion scalar form factor to determine the value of this radius, obtaining a result of approximately 0.75 ± 0.07 femtometer squared (fm^2). However, this value was found to be inconsistent with the value obtained through the solution of the corresponding Muskhelishvili-Omnes equations, which yielded a value of around 0.61 ± 0.04 fm^2. This discrepancy raises questions about the accuracy of the initial result. To address this issue, we conducted a reevaluation of Yndurain's approach, incorporating the requirement of continuity in the resulting pion scalar form factor when there are minor variations in the input pi-pi phase shifts. By doing so, we discovered that a zero in the form factor becomes necessary for certain S-wave I=0 T-matrices. When this constraint is taken into account, the derived value of the quadratic pion scalar radius turns out to be approximately 0.65 ± 0.05 fm^2. The primary source of uncertainty in this determination stems from current experimental uncertainties in low-energy S-wave I=0 pi-pi phase shifts. Additionally, the not-yet-settled nature of the asymptotic behavior of the phase of the scalar form factor from Quantum Chromodynamics (QCD) contributes significantly to the overall error margin.",,
"We formulate a quantum generalization of the notion of the group of Riemannian isometries for a compact Riemannian manifold, by introducing a natural notion of smooth and isometric action by a compact quantum group on a classical or noncommutative manifold described by spectral triples, and then proving the existence of a universal object (called the quantum isometry group) in the category of compact quantum groups acting smoothly and isometrically on a given (possibly noncommutative) manifold satisfying certain regularity assumptions. In fact, we identify the quantum isometry group with the universal object in a bigger category, namely the category of `quantum families of smooth isometries', defined along the line of Woronowicz and Soltan. We also construct a spectral triple on the Hilbert space of forms on a noncommutative manifold which is equivariant with respect to a natural unitary representation of the quantum isometry group. We give explicit description of quantum isometry groups of commutative and noncommutative tori, and in this context, obtain the quantum double torus defined in \\cite{hajac} as the universal quantum group of holomorphic isometries of the noncommutative torus.","We develop a quantum version of the concept of the group of Riemannian isometries for a compact Riemannian manifold by introducing a well-defined and smooth action of a compact quantum group on a classical or noncommutative manifold, described by spectral triples. We prove that there exists a unique object, called the quantum isometry group, in the category of compact quantum groups that act smoothly and isometrically on a given manifold, subject to certain regularity conditions. Furthermore, we show that the quantum isometry group can be identified with an object in a larger category, known as the category of ""quantum families of smooth isometries,"" which was introduced by Woronowicz and Soltan. Additionally, we construct a spectral triple on the Hilbert space of forms on a noncommutative manifold that is equipped with a natural unitary representation of the quantum isometry group. We provide explicit descriptions of quantum isometry groups of both commutative and noncommutative tori, and in doing so, recover the quantum double torus presented in \cite{hajac} as the universal quantum group of holomorphic isometries of the noncommutative torus.",9,
It is outlined the possibility to extend the quantum formalism in relation to the requirements of the general systems theory. It can be done by using a quantum semantics arising from the deep logical structure of quantum theory. It is so possible taking into account the logical openness relationship between observer and system. We are going to show how considering the truth-values of quantum propositions within the context of the fuzzy sets is here more useful for systemics . In conclusion we propose an example of formal quantum coherence.,"The paper explores the potential to broaden the scope of quantum mechanics to better align with the principles of general systems theory. This is achieved by employing a quantum semantics that leverages the inherent logical structure of quantum theory. By acknowledging the reciprocal relationship between the observer and the system, we demonstrate how assessing the veracity of quantum statements within the framework of fuzzy sets can be beneficial for understanding complex systems. Ultimately, we present a case study illustrating the concept of formal quantum coherence.",9,
"We report on the analysis of selected single source data sets from the first round of the Mock LISA Data Challenges (MLDC) for white dwarf binaries. We implemented an end-to-end pipeline consisting of a grid-based coherent pre-processing unit for signal detection, and an automatic Markov Chain Monte Carlo post-processing unit for signal evaluation. We demonstrate that signal detection with our coherent approach is secure and accurate, and is increased in accuracy and supplemented with additional information on the signal parameters by our Markov Chain Monte Carlo approach. We also demonstrate that the Markov Chain Monte Carlo routine is additionally able to determine accurately the noise level in the frequency window of interest.","In this study, we examined a few specific datasets from the initial round of the Mock LISA Data Challenges (MLDC) for binary systems containing white dwarfs. Our methodology involved using a comprehensive pipeline that combined a grid-based coherent pre-processing step for detecting signals and an automated Markov Chain Monte Carlo post-processing stage for assessing the detected signals' validity and estimating their characteristics. The results show that our coherent technique reliably and precisely identifies signals, while our Markov Chain Monte Carlo approach enhances the precision and provides more insightful information about the signal properties. Additionally, we found that the Markov Chain Monte Carlo routine can successfully estimate the noise levels within the range of frequencies of interest.",9,
"We present an algorithm that produces the classification list of smooth Fano d-polytopes for any given d. The input of the algorithm is a single number, namely the positive integer d. The algorithm has been used to classify smooth Fano d-polytopes for d<=7. There are 7622 isomorphism classes of smooth Fano 6-polytopes and 72256 isomorphism classes of smooth Fano 7-polytopes.","Our method yields a classification system for polished Fano d-polytopes, taking in only a single positive integer value, d, as its input. This approach has successfully categorized smooth Fano d-polytopes up to dimension 7, revealing 7622 distinct groups of smooth Fano 6-polytopes and a remarkable 72256 sets of smooth Fano 7-polytopes.",9,
"Part I describes an intelligent acoustic emission locator, while Part II discusses blind source separation, time delay estimation and location of two continuous acoustic emission sources. Acoustic emission (AE) analysis is used for characterization and location of developing defects in materials. AE sources often generate a mixture of various statistically independent signals. A difficult problem of AE analysis is separation and characterization of signal components when the signals from various sources and the mode of mixing are unknown. Recently, blind source separation (BSS) by independent component analysis (ICA) has been used to solve these problems. The purpose of this paper is to demonstrate the applicability of ICA to locate two independent simultaneously active acoustic emission sources on an aluminum band specimen. The method is promising for non-destructive testing of aircraft frame structures by acoustic emission analysis.","This paper is divided into two parts. The first part focuses on an intelligent acoustic emission locator, while the second part covers blind source separation, time delay estimation, and location of two continuous acoustic emission sources. Acoustic emission analysis is commonly used to identify and locate developing flaws in materials. However, it can be challenging to separate and characterize signal components when the sources are unknown and generate a mix of different signals. To address this issue, the paper explores the use of blind source separation through independent component analysis. The goal is to demonstrate the effectiveness of this approach in locating two independently active acoustic emission sources on an aluminum band specimen, which could have important applications in non-destructive testing of aircraft frame structures using acoustic emission analysis.",6,
"A novel way of picturing the processing of quantum information is described, allowing a direct visualization of teleportation of quantum states and providing a simple and intuitive understanding of this fascinating phenomenon. The discussion is aimed at providing physicists a method of explaining teleportation to non-scientists. The basic ideas of quantum physics are first explained in lay terms, after which these ideas are used with a graphical description, out of which teleportation arises naturally.","A new approach to visualizing the handling of quantum data is presented, enabling a clear depiction of quantum state teleportation and offering an accessible explanation of this intriguing phenomenon. This approach is intended for physicists who want to explain teleportation to people without a scientific background. First, the fundamental principles of quantum mechanics are explained in straightforward language, followed by a graphical representation that organically leads to the concept of teleportation.",7,
"We study space-time symmetries in scalar quantum field theory (including interacting theories) on static space-times. We first consider Euclidean quantum field theory on a static Riemannian manifold, and show that the isometry group is generated by one-parameter subgroups which have either self-adjoint or unitary quantizations. We analytically continue the self-adjoint semigroups to one-parameter unitary groups, and thus construct a unitary representation of the isometry group of the associated Lorentzian manifold. The method is illustrated for the example of hyperbolic space, whose Lorentzian continuation is Anti-de Sitter space.","In the realm of scalar quantum field theory, we delve into the study of space-time symmetries, encompassing both non-interacting and interacting models, on static spacetimes. Our initial focus lies with Euclidean quantum field theory on a static Riemannian manifold, where we demonstrate that the isometry group is fueled by one-parameter subgroups that give rise to either self-adjoint or unitary quantizations. By employing an analytical continuation of the self-adjoint semigroups, we successfully transform them into one-parameter unitary groups, thereby establishing a unitary representation of the isometry group linked to the corresponding Lorentzian manifold. To illustrate our approach, we utilize the paradigm of hyperbolic space, whose Lorentzian counterpart takes the form of Anti-de Sitter space.",10,
"The aim of the present paper is to provide a global presentation of the theory of special Finsler manifolds. We introduce and investigate globally (or intrinsically, free from local coordinates) many of the most important and most commonly used special Finsler manifolds: locally Minkowskian, Berwald, Landesberg, general Landesberg, $P$-reducible, $C$-reducible, semi-$C$-reducible, quasi-$C$-reducible, $P^{*}$-Finsler, $C^{h}$-recurrent, $C^{v}$-recurrent, $C^{0}$-recurrent, $S^{v}$-recurrent, $S^{v}$-recurrent of the second order, $C_{2}$-like, $S_{3}$-like, $S_{4}$-like, $P_{2}$-like, $R_{3}$-like, $P$-symmetric, $h$-isotropic, of scalar curvature, of constant curvature, of $p$-scalar curvature, of $s$-$ps$-curvature. The global definitions of these special Finsler manifolds are introduced. Various relationships between the different types of the considered special Finsler manifolds are found. Many local results, known in the literature, are proved globally and several new results are obtained. As a by-product, interesting identities and properties concerning the torsion tensor fields and the curvature tensor fields are deduced. Although our investigation is entirely global, we provide; for comparison reasons, an appendix presenting a local counterpart of our global approach and the local definitions of the special Finsler spaces considered.","The current paper aspires to deliver a comprehensive overview of the theory of special Finsler manifolds, encompassing various significant and widely used types. The authors' approach is inherently global, eschewing local coordinate systems. They introduce and examine numerous notable Finsler manifolds, including those that are locally Minkowskian, Berwald, Landesberg, general Landesberg, $P$-reducible, $C$-reducible, semi-$C$-reducible, quasi-$C$-reducible, $P^{*}$-Finsler, $C^{h}$-recurrent, $C^{v}$-recurrent, $C^{0}$-recurrent, $S^{v}$-recurrent, $S^{v}$-recurrent of the second order, $C_{2}$-like, $S_{3}$-like, $S_{4}$-like, $P_{2}$-like, $R_{3}$-like, $P$-symmetric, $h$-isotropic, of scalar curvature, of constant curvature, of $p$-scalar curvature, and of $s$-$ps$-curvature. Through their global approach, the authors establish connections between these diverse types of Finsler manifolds, uncovering both familiar and novel relationships. By leveraging their global perspective, they manage to prove certain local results and unearth fresh insights. Additionally, they derive valuable identities and characteristics related to torsion and curvature tensor fields as a byproduct of their research. To facilitate comparisons, the authors include an appendix outlining a local analogue of their global methodology and defining the special Finsler spaces under consideration.",8,
"In this paper we consider the Hardy-Lorentz spaces $H^{p,q}(R^n)$, with $0<p\\le 1$, $0<q\\le \\infty$. We discuss the atomic decomposition of the elements in these spaces, their interpolation properties, and the behavior of singular integrals and other operators acting on them.","In this study, we focus on the Hardy-Lorentz spaces $H^{p,q}(\mathbb{R}^n)$, where $0 < p \leq 1$ and $0 < q \leq \infty$. Our aim is to provide an in-depth examination of the atomic decomposition of elements within these spaces, as well as their interpolation characteristics. Additionally, we investigate how singular integrals and various operators behave when applied to functions from these spaces.",8,
"Potassium intercalation in graphite is investigated by first-principles theory. The bonding in the potassium-graphite compound is reasonably well accounted for by traditional semilocal density functional theory (DFT) calculations. However, to investigate the intercalate formation energy from pure potassium atoms and graphite requires use of a description of the graphite interlayer binding and thus a consistent account of the nonlocal dispersive interactions. This is included seamlessly with ordinary DFT by a van der Waals density functional (vdW-DF) approach [Phys. Rev. Lett. 92, 246401 (2004)]. The use of the vdW-DF is found to stabilize the graphite crystal, with crystal parameters in fair agreement with experiments. For graphite and potassium-intercalated graphite structural parameters such as binding separation, layer binding energy, formation energy, and bulk modulus are reported. Also the adsorption and sub-surface potassium absorption energies are reported. The vdW-DF description, compared with the traditional semilocal approach, is found to weakly soften the elastic response.","Potassium's ability to insert itself into graphite is looked at using first-principles theory. Traditional semi-local density functional theory (DFT) calculations do a good job of explaining the bonding in the potassium-graphite compound. But to figure out how much energy it takes to make an intercalate from pure potassium atoms and graphite, you need a way to describe the binding between the graphite layers that includes non-local dispersive interactions. A van der Waals density functional (vdW-DF) method does this without any problems and includes these interactions in a natural way along with regular DFT. Using the vdW-DF method makes the graphite crystal more stable, which agrees fairly well with what has been seen in real life. They also say that things like the distance between bindings, the energy it takes to form a layer, and the amount of energy it takes to put potassium under the surface are all affected by the vdW-DF description. Compared to the traditional semilocal approach, the vdW-DF description makes the elastic response less strong.",7,
"We study a simple model of a nematic liquid crystal made of parallel ellipsoidal particles interacting via a repulsive Gaussian law. After identifying the relevant solid phases of the system through a careful zero-temperature scrutiny of as many as eleven candidate crystal structures, we determine the melting temperature for various pressure values, also with the help of exact free energy calculations. Among the prominent features of this model are pressure-driven reentrant melting and the stabilization of a columnar phase for intermediate temperatures.","In this research, we investigate a basic model of a nematic liquid crystal composed of rod-shaped particles that interact with each other through a repulsive potential. We first examine the system at absolute zero temperature to identify the different possible solid phases it can adopt. By carefully analyzing eleven distinct crystal structures, we identify the conditions under which each one is stable. Next, we use precise calculations of the free energy to determine the temperature at which the material melts for various pressures. Our findings reveal several intriguing aspects of the model's behavior, including the phenomenon of reentrant melting, where the material's melting point changes with pressure, and the emergence of a columnar phase at intermediate temperatures.",4,
"We study the interplay of crystal field splitting and Hund coupling in a two-orbital model which captures the essential physics of systems with two electrons or holes in the e_g shell. We use single site dynamical mean field theory with a recently developed impurity solver which is able to access strong couplings and low temperatures. The fillings of the orbitals and the location of phase boundaries are computed as a function of Coulomb repulsion, exchange coupling and crystal field splitting. We find that the Hund coupling can drive the system into a novel Mott insulating phase with vanishing orbital susceptibility. Away from half-filling, the crystal field splitting can induce an orbital selective Mott state.","In this research, we investigate the interaction between crystal field splitting and Hund coupling in a two-orbital model, which accurately represents the fundamental physics of systems containing two electrons or holes in the e_g shell. Utilizing single site dynamical mean field theory and a cutting-edge impurity solver capable of handling strong couplings and low temperatures, we analyze how the fillings of the orbitals and the positions of phase boundaries change as a function of Coulomb repulsion, exchange coupling, and crystal field splitting. Our findings reveal that the Hund coupling has the ability to drive the system into a previously unobserved Mott insulating phase characterized by zero orbital susceptibility. Moreover, away from half-filling, the crystal field splitting can result in an orbital selective Mott state.",10,
"I shall present three arguments for the proposition that intelligent life is very rare in the universe. First, I shall summarize the consensus opinion of the founders of the Modern Synthesis (Simpson, Dobzhanski, and Mayr) that the evolution of intelligent life is exceedingly improbable. Second, I shall develop the Fermi Paradox: if they existed they'd be here. Third, I shall show that if intelligent life were too common, it would use up all available resources and die out. But I shall show that the quantum mechanical principle of unitarity (actually a form of teleology!) requires intelligent life to survive to the end of time. Finally, I shall argue that, if the universe is indeed accelerating, then survival to the end of time requires that intelligent life, though rare, to have evolved several times in the visible universe. I shall argue that the acceleration is a consequence of the excess of matter over antimatter in the universe. I shall suggest experiments to test these claims.","The possibility that intelligent life exists abundantly throughout the cosmos will be challenged by offering three compelling arguments to the contrary. We'll begin with the collective viewpoint of influential figures like Simpson, Dobzhansky, and Mayr, who assert that the development of sophisticated life forms is highly implausible from an evolutionary standpoint. Then we'll delve into the Fermi Paradox, which questions why, given their presumed existence, advanced civilizations haven't yet made contact or revealed themselves. Moving on, we'll demonstrate how the widespread presence of intelligent life would lead to resource depletion and eventual extinction. However, we'll also explore how the quantum mechanical concept of unitarity – which has teleological aspects – necessitates the long-term survival of intelligent life. Lastly, we'll propose that the observed acceleration of the universe can only be explained by an imbalance of matter and antimatter, and that this, in turn, suggests the emergence of intelligent life multiple times within our observable universe. To validate these hypotheses, we'll outline experimental methods worth considering.",10,
"We investigate the Coulomb excitation of low-lying states of unstable nuclei in intermediate energy collisions ($E_{lab}\\sim10-500$ MeV/nucleon). It is shown that the cross sections for the $E1$ and $E2$ transitions are larger at lower energies, much less than 10 MeV/nucleon. Retardation effects and Coulomb distortion are found to be both relevant for energies as low as 10 MeV/nucleon and as high as 500 MeV/nucleon. Implications for studies at radioactive beam facilities are discussed.","We explore the Coulomb excitation of low-energy states in unstable nuclei during intermediate-energy collisions (with laboratory energies ranging from approximately 10 to 500 MeV per nucleon). Our findings indicate that the cross sections for electric dipole (E1) and electric quadrupole (E2) transitions decrease with increasing energy, becoming significantly smaller above 10 MeV/nucleon. However, we observe that both retardation effects and Coulomb distortion play a significant role in these interactions, regardless of whether the energy is as low as 10 MeV/nucleon or as high as 500 MeV/nucleon. These results have important implications for future research at radioactive beam facilities.",7,
"Intersection bodies represent a remarkable class of geometric objects associated with sections of star bodies and invoking Radon transforms, generalized cosine transforms, and the relevant Fourier analysis. The main focus of this article is interrelation between generalized cosine transforms of different kinds in the context of their application to investigation of a certain family of intersection bodies, which we call $\\lam$-intersection bodies. The latter include $k$-intersection bodies (in the sense of A. Koldobsky) and unit balls of finite-dimensional subspaces of $L_p$-spaces. In particular, we show that restrictions onto lower dimensional subspaces of the spherical Radon transforms and the generalized cosine transforms preserve their integral-geometric structure. We apply this result to the study of sections of $\\lam$-intersection bodies. New characterizations of this class of bodies are obtained and examples are given. We also review some known facts and give them new proofs.","Intersection bodies, a fascinating class of geometric objects, are closely linked to sectioning star bodies and utilize Radon transforms, generalized cosine transforms, and related Fourier analysis. This article centers on the relationship between various types of generalized cosine transforms when applied to investigate a specific set of intersection bodies, dubbed $\ Lam$-intersection bodies. Notably, these bodies encompass $ k $-intersection bodies (as defined by A. Koldobsky) and unit balls of finite-dimensional subspaces within $ L_p $-spaces. Our research reveals that restricting the spherical Radon transforms and generalized cosine transforms to lower-dimensional subspaces preserves their integral-geometric essence. By applying this insight, we delve into the study of sections of $\ Lam$-intersection bodies, leading to fresh characterizations and illustrative examples. Additionally, we revisit established facts and offer novel proof approaches.",8,
"In this paper, we introduce the on-line Viterbi algorithm for decoding hidden Markov models (HMMs) in much smaller than linear space. Our analysis on two-state HMMs suggests that the expected maximum memory used to decode sequence of length $n$ with $m$-state HMM can be as low as $\\Theta(m\\log n)$, without a significant slow-down compared to the classical Viterbi algorithm. Classical Viterbi algorithm requires $O(mn)$ space, which is impractical for analysis of long DNA sequences (such as complete human genome chromosomes) and for continuous data streams. We also experimentally demonstrate the performance of the on-line Viterbi algorithm on a simple HMM for gene finding on both simulated and real DNA sequences.","In this study, we present an innovative approach to decoding hidden Markov models (HMMs) using the online Viterbi algorithm, which requires significantly less space than traditional methods. Specifically, our analysis shows that the expected maximum memory usage for decoding a sequence of length n with an m-state HMM can be reduced to O(m log n), without sacrificing performance. This represents a substantial improvement over the classical Viterbi algorithm, which necessitates O(mn) space and becomes impractical when dealing with large datasets such as entire human genome chromosomes or continuous data streams. To validate our findings, we have conducted experiments utilizing a simplified HMM for gene discovery on both synthetic and actual DNA sequences, demonstrating the efficiency and effectiveness of our novel method.",7,
